blocker_id,issue_id,blocked_at,unblocked_at,reason
1,1003,2025-09-05 02:46:10,2025-09-15 16:04:04,Waiting on legal sign-off
2,1015,2025-09-01 21:08:02,2025-09-04 03:24:38,Waiting on product decision
3,1016,2025-09-05 10:24:06,,Environment unavailable
4,1018,2025-09-09 17:21:10,,Environment unavailable
5,1019,2025-09-03 18:25:45,2025-09-15 10:19:19,Dependency not released
6,1028,2025-09-08 10:58:01,2025-09-10 22:26:38,Waiting on product decision
7,1035,2025-09-19 16:01:55,2025-09-29 19:53:06,Waiting on product decision
8,1036,2025-09-22 01:58:35,2025-09-29 00:33:14,Waiting on third-party API
9,1037,2025-09-24 00:43:30,2025-09-25 18:43:40,Waiting on legal sign-off
10,1042,2025-09-19 01:56:18,,Environment unavailable
11,1049,2025-09-15 01:05:04,2025-09-25 08:25:10,Dependency not released
12,1051,2025-09-22 07:28:14,2025-09-24 19:04:06,Waiting on product decision
13,1052,2025-09-15 09:01:21,2025-09-19 23:52:18,Dependency not released
14,1059,2025-09-23 20:53:10,,Awaiting security review
15,1061,2025-09-23 17:42:25,2025-09-26 03:16:03,Environment unavailable
16,1073,2025-10-06 21:03:33,2025-10-09 17:35:38,Environment unavailable
17,1079,2025-10-06 01:58:42,2025-10-16 12:04:25,Waiting on legal sign-off
18,1080,2025-10-02 07:10:55,2025-10-06 17:38:55,Environment unavailable
19,1090,2025-10-06 18:08:23,2025-10-20 20:42:52,Waiting on third-party API
20,1098,2025-10-03 09:52:51,2025-10-13 19:15:51,Awaiting security review
21,1101,2025-10-07 11:58:32,2025-10-17 07:23:28,Waiting on third-party API
22,1109,2025-10-15 21:50:01,,Waiting on legal sign-off
23,1119,2025-10-20 13:31:44,2025-10-28 16:59:02,Waiting on legal sign-off
24,1122,2025-10-20 05:09:37,2025-10-28 18:37:46,Waiting on legal sign-off
25,1129,2025-10-13 05:20:48,,Waiting on third-party API
26,1132,2025-10-17 20:46:01,2025-10-20 12:48:00,Awaiting security review
27,1137,2025-10-20 04:28:56,2025-10-29 15:28:30,Environment unavailable
28,1142,2025-10-20 15:31:54,2025-10-28 12:27:18,Waiting on legal sign-off
29,1153,2025-10-29 07:43:19,,Environment unavailable
30,1166,2025-11-03 06:35:08,,Waiting on legal sign-off
31,1167,2025-11-04 20:15:24,,Waiting on legal sign-off
32,1168,2025-10-30 21:49:51,2025-10-31 13:02:59,Environment unavailable
33,1179,2025-11-05 12:04:35,2025-11-14 14:43:43,Dependency not released
34,1181,2025-10-27 22:45:17,2025-10-28 15:38:44,Dependency not released
35,1185,2025-11-13 00:44:55,2025-11-24 04:26:30,Environment unavailable
36,1187,2025-11-11 13:28:20,2025-11-19 07:03:25,Awaiting security review
