issue_id,depends_on_issue_id
1008,1100
1010,1384
1017,1586
1019,1535
1041,1631
1058,1137
1069,1597
1090,1253
1097,1549
1099,1090
1103,1350
1121,1184
1124,1693
1133,1555
1140,1298
1158,1566
1168,1045
1174,1446
1183,1700
1201,1684
1214,1566
1217,1075
1226,1697
1230,1474
1236,1683
1243,1589
1255,1278
1261,1461
1265,1236
1274,1380
1283,1278
1288,1088
1296,1613
1315,1116
1321,1279
1324,1178
1330,1394
1337,1616
1338,1361
1339,1052
1343,1260
1359,1209
1361,1077
1367,1020
1373,1611
1386,1633
1404,1191
1405,1076
1408,1346
1415,1687
1420,1440
1429,1697
1439,1267
1440,1114
1447,1512
1462,1341
1479,1640
1492,1123
1495,1560
1497,1631
1500,1600
1504,1267
1526,1677
1527,1446
1533,1069
1547,1228
1550,1349
1553,1446
1560,1298
1561,1462
1562,1593
1563,1158
1573,1055
1575,1354
1576,1010
1590,1352
1599,1639
1600,1496
1603,1198
1611,1570
1619,1239
1626,1461
1630,1169
1651,1345
1669,1468
1674,1073
1676,1496
1681,1273
1694,1177
1699,1610
