issue_id,epic_id,team_id,sprint_id,issue_type,summary,assignee,story_points,created_at,release_id
1001,11,1,1,Story,Story 1001,j.tan,13,2025-09-01 00:37:35,1
1002,11,1,1,Story,Story 1002,m.okafor,5,2025-09-01 21:22:39,2
1003,11,1,1,Task,Task 1003,r.silva,,2025-09-01 09:31:56,1
1004,11,1,1,Bug,Bug 1004,m.okafor,8,2025-08-29 21:45:36,2
1005,11,1,1,Bug,Bug 1005,j.tan,8,2025-09-01 05:15:28,2
1006,10,1,1,Story,Story 1006,r.silva,13,2025-09-01 04:06:11,1
1007,11,1,1,Task,Task 1007,j.tan,5,2025-09-01 23:32:46,2
1008,10,1,1,Task,Task 1008,j.tan,8,2025-08-29 22:24:21,1
1009,10,1,1,Story,Story 1009,r.silva,8,2025-09-01 04:44:52,1
1010,10,1,1,Story,Story 1010,m.okafor,5,2025-08-29 11:14:33,1
1011,11,1,1,Bug,Bug 1011,m.okafor,2,2025-09-01 14:41:26,1
1012,11,1,1,Task,Task 1012,j.tan,8,2025-09-01 14:36:13,2
1013,12,2,1,Story,Story 1013,d.byrne,13,2025-09-02 10:52:43,2
1014,12,2,1,Story,Story 1014,d.byrne,1,2025-09-01 15:47:09,1
1015,13,2,1,Task,Task 1015,l.moreau,,2025-08-28 10:30:26,2
1016,12,2,1,Bug,Bug 1016,l.moreau,,2025-09-01 02:10:40,1
1017,13,2,1,Story,Story 1017,d.byrne,5,2025-09-01 15:03:11,2
1018,12,2,1,Bug,Bug 1018,l.moreau,,2025-09-01 12:29:13,1
1019,13,2,1,Bug,Bug 1019,d.byrne,2,2025-09-01 08:42:31,2
1020,12,2,1,Story,Story 1020,d.byrne,3,2025-09-02 15:02:50,2
1021,13,2,1,Story,Story 1021,d.byrne,,2025-08-28 19:23:15,1
1022,14,3,1,Bug,Bug 1022,s.rossi,1,2025-08-29 22:11:09,2
1023,15,3,1,Task,Task 1023,a.kowalski,2,2025-09-01 02:04:02,1
1024,14,3,1,Bug,Bug 1024,s.rossi,1,2025-08-28 23:52:11,1
1025,14,3,1,Story,Story 1025,a.kowalski,5,2025-09-01 10:09:40,1
1026,14,3,1,Story,Story 1026,s.rossi,8,2025-09-01 21:11:31,2
1027,17,5,1,Spike,Spike 1027,c.mendes,,2025-09-01 13:29:35,1
1028,17,5,1,Bug,Bug 1028,h.ozturk,8,2025-08-29 21:15:08,2
1029,16,5,1,Story,Story 1029,h.ozturk,1,2025-09-01 13:05:01,1
1030,17,5,1,Spike,Spike 1030,c.mendes,,2025-08-28 17:44:55,1
1031,17,5,1,Story,Story 1031,c.mendes,1,2025-09-01 05:03:19,2
1032,16,5,1,Story,Story 1032,h.ozturk,2,2025-09-02 12:01:12,2
1033,16,5,1,Story,Story 1033,h.ozturk,8,2025-09-01 05:58:30,2
1034,10,1,2,Bug,Bug 1034,m.okafor,5,2025-09-15 19:03:40,4
1035,10,1,2,Story,Story 1035,m.okafor,2,2025-09-12 16:11:02,4
1036,10,1,2,Bug,Bug 1036,m.okafor,5,2025-09-15 07:48:31,3
1037,10,1,2,Task,Task 1037,m.okafor,5,2025-09-15 17:32:16,3
1038,11,1,2,Story,Story 1038,m.okafor,2,2025-09-16 07:25:31,3
1039,10,1,2,Bug,Bug 1039,m.okafor,8,2025-09-15 00:19:13,3
1040,10,1,2,Story,Story 1040,j.tan,,2025-09-15 08:11:18,4
1041,10,1,2,Story,Story 1041,r.silva,13,2025-09-15 21:00:24,
1042,11,1,2,Story,Story 1042,j.tan,13,2025-09-16 20:14:58,3
1043,11,1,2,Story,Story 1043,m.okafor,5,2025-09-15 18:52:35,4
1044,11,1,2,Task,Task 1044,r.silva,,2025-09-15 17:34:45,4
1045,10,1,2,Bug,Bug 1045,j.tan,8,2025-09-15 23:07:23,3
1046,13,2,2,Bug,Bug 1046,l.moreau,8,2025-09-15 02:45:55,3
1047,12,2,2,Story,Story 1047,d.byrne,1,2025-09-15 02:25:18,3
1048,12,2,2,Bug,Bug 1048,l.moreau,3,2025-09-11 19:57:02,3
1049,12,2,2,Bug,Bug 1049,l.moreau,8,2025-09-11 10:18:10,3
1050,12,2,2,Task,Task 1050,d.byrne,2,2025-09-11 19:23:02,3
1051,14,3,2,Bug,Bug 1051,a.kowalski,,2025-09-15 23:31:22,4
1052,14,3,2,Story,Story 1052,s.rossi,8,2025-09-12 04:00:04,3
1053,14,3,2,Bug,Bug 1053,p.nair,8,2025-09-12 19:55:05,3
1054,14,3,2,Story,Story 1054,a.kowalski,5,2025-09-12 18:34:23,4
1055,15,3,2,Task,Task 1055,s.rossi,2,2025-09-15 02:09:23,4
1056,15,3,2,Bug,Bug 1056,p.nair,13,2025-09-11 20:55:18,3
1057,15,3,2,Story,Story 1057,s.rossi,1,2025-09-15 05:26:55,2
1058,14,3,2,Task,Task 1058,a.kowalski,8,2025-09-15 02:04:52,4
1059,15,3,2,Story,Story 1059,a.kowalski,3,2025-09-16 03:13:40,4
1060,15,3,2,Story,Story 1060,s.rossi,5,2025-09-16 13:04:07,5
1061,17,5,2,Story,Story 1061,c.mendes,8,2025-09-15 13:38:36,4
1062,16,5,2,Story,Story 1062,h.ozturk,5,2025-09-11 20:48:21,3
1063,16,5,2,Bug,Bug 1063,h.ozturk,8,2025-09-12 18:47:16,3
1064,17,5,2,Story,Story 1064,c.mendes,8,2025-09-15 05:47:02,4
1065,17,5,2,Story,Story 1065,c.mendes,5,2025-09-15 03:13:52,3
1066,16,5,2,Story,Story 1066,h.ozturk,3,2025-09-12 05:46:32,3
1067,17,5,2,Bug,Bug 1067,c.mendes,2,2025-09-15 19:02:38,3
1068,17,5,2,Task,Task 1068,h.ozturk,2,2025-09-15 10:36:51,4
1069,17,5,2,Story,Story 1069,c.mendes,13,2025-09-15 18:41:18,3
1070,17,5,2,Story,Story 1070,c.mendes,5,2025-09-15 18:46:38,3
1071,11,1,3,Story,Story 1071,r.silva,13,2025-09-26 21:13:24,4
1072,10,1,3,Task,Task 1072,j.tan,2,2025-09-29 21:15:15,5
1073,11,1,3,Story,Story 1073,r.silva,5,2025-09-26 21:05:33,5
1074,11,1,3,Bug,Bug 1074,r.silva,3,2025-09-29 16:44:12,5
1075,10,1,3,Task,Task 1075,j.tan,13,2025-09-29 16:08:49,
1076,11,1,3,Bug,Bug 1076,r.silva,8,2025-09-29 20:00:08,5
