release_id,name,released_at
1,R-2025.09-001,2025-09-11 09:00:00
2,R-2025.09-002,2025-09-18 09:00:00
3,R-2025.09-003,2025-09-25 09:00:00
4,R-2025.10-004,2025-10-02 09:00:00
5,R-2025.10-005,2025-10-16 09:00:00
6,R-2025.10-006,2025-10-30 09:00:00
7,R-2025.11-007,2025-11-06 09:00:00
8,R-2025.11-008,2025-11-16 09:00:00
9,R-2025.11-009,2025-11-23 09:00:00
10,R-2025.11-010,2025-11-30 09:00:00
11,R-2025.12-011,2025-12-07 09:00:00
12,R-2025.12-012,2025-12-14 09:00:00
13,R-2025.12-013,2025-12-21 09:00:00
14,R-2025.12-014,2025-12-31 09:00:00
15,R-2026.01-015,2026-01-07 09:00:00
16,R-2026.01-016,2026-01-21 09:00:00
17,R-2026.01-017,2026-01-28 09:00:00
18,R-2026.02-018,2026-02-04 09:00:00
19,R-2026.02-019,2026-02-14 09:00:00
20,R-2026.02-020,2026-02-21 09:00:00
21,R-2026.03-021,2026-03-03 09:00:00
22,R-2026.03-022,2026-03-10 09:00:00
23,R-2026.03-023,2026-03-20 09:00:00
24,R-2026.03-024,2026-03-27 09:00:00
25,R-2026.04-025,2026-04-03 09:00:00
26,R-2026.04-026,2026-04-17 09:00:00
27,R-2026.05-027,2026-05-01 09:00:00
28,R-2026.05-028,2026-05-11 09:00:00
29,R-2026.05-029,2026-05-18 09:00:00
30,R-2026.06-030,2026-06-01 09:00:00
