issue_id,from_status,to_status,changed_at,changed_by
1001,,Backlog,2025-09-01 22:15:38,j.tan
1001,Backlog,Waiting for In Progress,2025-09-03 06:33:31,r.silva
1001,Waiting for In Progress,In Progress,05/09/2025 15:25,r.silva
1001,In Progress,Waiting for Test,2025-09-08 04:35:28,m.okafor
1001,Waiting for Test,In Test,2025-09-09 10:47:20,j.tan
1001,In Test,Done,2025-09-09 15:29:02,m.okafor
1001,Done,Released,2025-09-11 09:00:00,r.silva
1002,,Backlog,2025-09-02 08:07:48,m.okafor
1002,Backlog,Waiting for In Progress,03/09/2025 11:20,m.okafor
1002,Waiting for In Progress,In Progress,2025-09-08 14:08:20,m.okafor
1002,In Progress,Waiting for Test,2025-09-09 19:59:18,j.tan
1002,Waiting for Test,In Test,2025-09-12 12:46:10,m.okafor
1002,In Test,Done,2025-09-12 16:42:30,j.tan
1002,Done,Released,2025-09-18 09:00:00,r.silva
1003,,Backlog,2025-09-02 13:01:36,r.silva
1003,Backlog,Waiting for In Progress,2025-09-03 08:16:52,m.okafor
1003,Waiting for In Progress,In Progress,2025-09-05 00:46:12,r.silva
1003,In Progress,Waiting for Test,2025-09-05 06:48:30,r.silva
1003,Waiting for Test,In Test,2025-09-08 18:25:19,r.silva
1003,In Test,Done,2025-09-08 23:32:57,j.tan
1003,Done,Released,2025-09-11 09:00:00,m.okafor
1004,,Backlog,2025-09-01 09:58:49,m.okafor
1004,Backlog,Waiting for In Progress,2025-09-04 18:44:16,m.okafor
1004,Waiting for In Progress,In Progress,2025-09-05 22:22:11,m.okafor
1004,In Progress,Waiting for Test,2025-09-08 08:38:41,r.silva
1004,Waiting for Test,In Test,2025-09-11 11:36:44,r.silva
1004,In Test,Done,2025-09-11 21:16:56,j.tan
1004,Done,Released,2025-09-18 09:00:00,m.okafor
1005,,Backlog,2025-09-01 22:30:51,m.okafor
1005,Backlog,Waiting for In Progress,2025-09-04 03:07:49,r.silva
1005,Waiting for In Progress,In Progress,2025-09-05 12:47:37,r.silva
1005,In Progress,Waiting for Test,2025-09-08 00:27:27,m.okafor
1005,Waiting for Test,In Test,2025-09-10 21:55:12,j.tan
